Date,Predicted,Observed,AbsErr,RelErr
48,0.0659358604342927,0.03649999619,0.029435864244292696,0.8064618973231109
47,0.07225959476316776,0.03950000286,0.03275959190316776,0.8293564870289452
44,0.0721081290411649,0.04,0.0321081290411649,0.802703025353366
43,0.06558098983197602,0.03649999619,0.02908099364197602,0.7967394167166857
42,0.06583225029028628,0.03574999332,0.030082256970286277,0.8414616552904498
40,0.059920761520117785,0.03005000114,0.029870760380117784,0.9940349186878132
37,0.06040092718620652,0.03099999428,0.029400932906206524,0.9484170595800486
36,0.06159684070288804,0.03324999809,0.028346842612888036,0.8525364125073219
35,0.07014391285496241,0.04,0.03014391285496241,0.7535976329746519
34,0.06821959510509598,0.03949999809,0.02871959701509598,0.727078256532478
33,0.07822333375422942,0.03924999714,0.03897333661422942,0.9929510706893956
29,0.08095664255346902,0.04399999619,0.036956646363469015,0.8399236628259441
28,0.08067246080426686,0.04199999809,0.038672462714266866,0.9207727444098897
27,0.0807279175998813,0.04399999619,0.03672792140988129,0.8347253691575285
26,0.08116252665769702,0.04474999905,0.03641252760769702,0.8136876032139487
23,0.06770050477917633,0.03799999714,0.02970050763917633,0.7815921594370608
22,0.07340050879497581,0.04,0.03340050879497581,0.8350125111212674
21,0.07248590823637985,0.03924999714,0.03323591109637985,0.8467746509658303
20,0.07511913943961873,0.04099999905,0.03411914038961873,0.8321739721571776
19,0.07238822156961104,0.03650000095,0.03588822061961104,0.9832386261136461
16,0.06289783846186008,0.0325,0.030397838461860074,0.9353178187286734
15,0.06794657257461062,0.03450000286,0.03344656971461062,0.9694654274575428
14,0.07332634189835852,0.03799999714,0.03532634475835852,0.9296404768611977
13,0.07403416320498499,0.03899999619,0.03503416701498499,0.8983118321649936
12,0.06950299189825881,0.03325000286,0.03625298903825881,1.0903150380994713
9,0.0711945597181173,0.03700000286,0.03419455685811731,0.9241768911676348
8,0.06994154569866429,0.03600000381,0.03394154188866429,0.9428202463421301
7,0.07001868940381852,0.03449999809,0.03551869131381852,1.0295270430418766
6,0.07266958496032307,0.04,0.032669584960323066,0.8167394198232216
5,0.07349196470258072,0.04050000191,0.03299196279258072,0.8146161256914238
1,0.06919709952949554,0.04400000095,0.025197098579495543,0.5726611888376255
